25-05-2024 17:58:25,17,87
25-05-2024 17:58:42,17,87
25-05-2024 17:59:00,16,87
25-05-2024 17:59:18,16,87
25-05-2024,18:49:30,16,91
25-05-2024,18:49:45,16,91
25-05-2024,18:50:00,15,90
25-05-2024,18:50:16,16,91
25-05-2024,18:50:31,16,91
25-05-2024,18:50:46,16,91
25-05-2024,18:51:01,15,90
25-05-2024,18:51:17,16,90
25-05-2024,18:54:07,16,91
25-05-2024,18:54:23,15,90
25-05-2024,18:54:38,16,91
25-05-2024,18:54:53,16,91
25-05-2024,18:55:09,15,90
25-05-2024,18:55:24,16,91
25-05-2024,18:55:39,16,91
25-05-2024,18:55:54,15,90
25-05-2024,18:56:10,15,90
25-05-2024,18:56:25,16,91
25-05-2024,18:56:40,15,90
25-05-2024,18:57:25,16,91
25-05-2024,18:57:41,16,91
25-05-2024,18:57:56,15,90
25-05-2024,18:58:11,16,91
25-05-2024,18:58:26,16,91
25-05-2024,18:58:42,15,90
25-05-2024,18:58:57,15,90
25-05-2024,18:59:12,16,91
25-05-2024,18:59:28,16,91
25-05-2024,18:59:43,16,91
25-05-2024,18:59:58,16,91
25-05-2024,19:00:13,16,91
25-05-2024,19:00:29,15,90
25-05-2024,19:01:02,15,90
25-05-2024,19:01:17,15,90
25-05-2024,19:01:32,16,91
25-05-2024,19:15:06,15,91
25-05-2024,19:15:22,15,91
25-05-2024,19:15:37,15,91
25-05-2024,19:15:52,15,90
