25-05-2024 17:58:26,4095
25-05-2024 17:58:44,4095
25-05-2024 17:59:01,4095
25-05-2024 17:59:19,4095
25-05-2024,18:49:30,4095
25-05-2024,18:49:45,4095
25-05-2024,18:50:00,4095
25-05-2024,18:50:16,4095
25-05-2024,18:50:31,4095
25-05-2024,18:50:46,4095
25-05-2024,18:51:01,4095
25-05-2024,18:51:17,4095
25-05-2024,18:54:07,4095
25-05-2024,18:54:23,4095
25-05-2024,18:54:38,4095
25-05-2024,18:54:53,4095
25-05-2024,18:55:09,4095
25-05-2024,18:55:24,4095
25-05-2024,18:55:39,4095
25-05-2024,18:55:54,4095
25-05-2024,18:56:10,4095
25-05-2024,18:56:25,4095
25-05-2024,18:56:40,4095
25-05-2024,18:57:25,4095
25-05-2024,18:57:41,4095
25-05-2024,18:57:56,4095
25-05-2024,18:58:11,4095
25-05-2024,18:58:26,4095
25-05-2024,18:58:42,4095
25-05-2024,18:58:57,4095
25-05-2024,18:59:12,4095
25-05-2024,18:59:28,4095
25-05-2024,18:59:43,4095
25-05-2024,18:59:58,4095
25-05-2024,19:00:13,4095
25-05-2024,19:00:29,4095
25-05-2024,19:01:02,4095
25-05-2024,19:01:17,4095
25-05-2024,19:01:32,4095
25-05-2024,19:15:06,4095
25-05-2024,19:15:22,4095
25-05-2024,19:15:37,4095
25-05-2024,19:15:52,4095
